order_id,user_id,user_name,medicine_name,quantity,price_per_unit,total_price,order_date,status,delivery_address
ORD_20250204_211953_5804445806,5804445806,Arnav Malhotra,Dologel,5,99.25,496.25,2025-02-04 21:19:53,completed,334B J&K pkt Dilshad Garden Delhi 110095 near govt school
ORD_20250204_213012_1234567890,1234567890,Priya Singh,Zithronic 250 Tablet,2,67.0,134.0,2025-02-04 21:30:12,completed,42 Rajouri Garden New Delhi 110027
ORD_20250204_214523_2345678901,2345678901,Rahul Kumar,Zocmoxy 500mg/125mg Tablet,3,188.0,564.0,2025-02-04 21:45:23,cancelled,156 Malviya Nagar Jaipur 302017
ORD_20250204_220145_3456789012,3456789012,Neha Gupta,Zesiron 2mg Injection,1,12.5,12.5,2025-02-04 22:01:45,completed,789 MG Road Bangalore 560001
ORD_20250204_221834_4567890123,4567890123,Amit Sharma,Zolfab 20mg Capsule,4,33.0,132.0,2025-02-04 22:18:34,completed,23 Park Street Kolkata 700016
ORD_20250204_223456_5678901234,5678901234,Deepika Patel,Zycet 10mg Tablet,2,22.0,44.0,2025-02-04 22:34:56,pending,567 Civil Lines Nagpur 440001
ORD_20250204_225012_6789012345,6789012345,Rajesh Verma,Zithmark 250mg Tablet,3,67.0,201.0,2025-02-04 22:50:12,cancelled,890 Scheme 54 Indore 452010
ORD_20250204_230534_7890123456,7890123456,Anita Reddy,Zestocef 100mg Tablet DT,2,82.0,164.0,2025-02-04 23:05:34,completed,234 Anna Nagar Chennai 600040
ORD_20250204_232145_8901234567,8901234567,Suresh Menon,Zelcef 500mg Injection,1,48.0,48.0,2025-02-04 23:21:45,pending,678 Aundh Pune 411007
ORD_20250204_233723_9012345678,9012345678,Maya Iyer,Zithociz 500 Tablet,2,68.0,136.0,2025-02-04 23:37:23,completed,345 Gomti Nagar Lucknow 226010
ORD_20250205_001234_0123456789,123456789,Vikram Singh,Zapp-S 375mg Injection,1,47.0,47.0,2025-02-05 00:12:34,cancelled,901 Vastrapur Ahmedabad 380015
ORD_20250205_003456_1234567891,1234567891,Pooja Shah,Zixime CL 200mg/125mg Tablet,3,243.0,729.0,2025-02-05 00:34:56,cancelled,123 Banjara Hills Hyderabad 500034
ORD_20250205_005678_2345678902,2345678902,Arjun Nair,Zidnim T 100mg/2mg Tablet,2,50.0,100.0,2025-02-05 00:56:78,completed,456 Salt Lake Kolkata 700091
ORD_20250205_011234_3456789013,3456789013,Kavita Joshi,Zedasat 1000mg/125mg Injection,1,354.0,354.0,2025-02-05 01:12:34,pending,789 Shivaji Nagar Pune 411005
ORD_20250205_013456_4567890124,4567890124,Sanjay Mehta,Zebi-DSR Capsule,4,84.0,336.0,2025-02-05 01:34:56,completed,012 Vasant Kunj New Delhi 110070
ORD_20250205_015678_5678901235,5678901235,Meera Rao,Zpename 500mg Injection,1,700.0,700.0,2025-02-05 01:56:78,cancelled,345 Koramangala Bangalore 560034
ORD_20250205_021234_6789012346,6789012346,Arun Kumar,Zoceclo 200mg Tablet SR,2,48.0,96.0,2025-02-05 02:12:34,completed,678 Alkapuri Vadodara 390007
ORD_20250205_023456_7890123457,7890123457,Ritu Malhotra,Zoxikyne 40mg Injection,1,25.0,25.0,2025-02-05 02:34:56,completed,901 Model Town Ludhiana 141002
ORD_20250205_025678_8901234568,8901234568,Kiran Bhat,Zestrain 100mg/325mg/250mg Tablet MR,3,70.0,210.0,2025-02-05 02:56:78,pending,234 Paldi Ahmedabad 380007
ORD_20250205_031234_9012345679,9012345679,Deepak Sinha,Ziyapod 200mg Tablet DT,2,187.3,374.6,2025-02-05 03:12:34,cancelled,567 Hazratganj Lucknow 226001
ORD_20250205_033456_0123456780,123456780,Anjali Mathur,Zogrell A 75mg/75mg Tablet,4,75.0,300.0,2025-02-05 03:34:56,completed,890 Viman Nagar Pune 411014
ORD_20250204_215405_5804445806,5804445806,Arnav Malhotra,Dolo 650 Tablet,4,34.27,137.08,2025-02-04 21:54:05,pending,pkt J&K 334B Dilshad Garden 110095
